,Rank,Mark,Player Name,DOB,Nat,Pos,Venue,Date
5929,142,10.54,Kyle WEBB,21 MAY 1995,BER,2h1,Morelia (MEX),04 JUL 2014
5930,142,10.54,Peter ADJAYI,1995,GER,2h4,Mannheim (GER),05 JUL 2014
5931,142,10.54,Kendrick SMITH,08 AUG 1995,USA,2sf1,"Des Moines, IA (USA)",30 JUL 2014
5932,142,10.54,Devin DUVERNAY,,USA,2,"Arkansas City, KS (USA)",03 AUG 2014
5933,142,10.54,Marek BAKALÁR,11 SEP 1995,CZE,2,Jablonec nad Nisou (CZE),30 AUG 2014
5934,142,10.54,Hikaru KONDO,1996,JPN,2sf1,Nagasaki (JPN),19 OCT 2014
5935,157,10.55,Sean STUART,04 DEC 1995,BAH,5f6,"Gainesville, FL (USA)",04 APR 2014
5936,157,10.55,Jaquivius CANNON,,USA,1,"Jefferson, GA (USA)",10 MAY 2014
5937,157,10.55,Jabrill PEPPERS,,USA,1,"South Plainfield, NJ (USA)",04 JUN 2014
5938,157,10.55,Marcel ESPINOZA,,USA,1h2,"Clovis, CA (USA)",07 JUN 2014
5939,157,10.55,Karsten WARHOLM,28 FEB 1996,NOR,1ce2,"Hayward Field, Eugene, OR (USA)",22 JUL 2014
5940,157,10.55,Zhouzheng XU,26 DEC 1995,CHN,2h4,Beijing (CHN),26 AUG 2014
5941,163,10.56,Kevin MOORE,,USA,1h3,Sydney (AUS),01 MAR 2014
5942,163,10.56,Fred KERLEY,07 MAY 1995,USA,4f1,"Stephenville, TX (USA)",06 MAR 2014
5943,163,10.56,Beresford SWEENEY,12 APR 1995,JAM,4,Kingston (JAM),08 MAR 2014
5944,163,10.56,Joshua BILLINGTON,15 APR 1996,AUS,2,Sydney (AUS),15 MAR 2014
5945,163,10.56,Lebogang SESEI,,RSA,1f1,Sasolburg (RSA),25 MAR 2014
5946,163,10.56,Malik WILSON,12 DEC 1995,USA,2,"Austin, TX (USA)",29 MAR 2014
5947,163,10.56,Travis JOHNSON,,USA,2,"Mobile, AL (USA)",09 APR 2014
5948,163,10.56,Eli PENICK,,USA,1,"Chico, CA (USA)",12 APR 2014
5949,163,10.56,Royce CALDWELL,1995,USA,1,"Kingsville, TX (USA)",26 APR 2014
5950,163,10.56,Demek KEMP,26 APR 1996,USA,1h1,"Jefferson, GA (USA)",08 MAY 2014
5951,163,10.56,Lawrence CRAWFORD,15 MAY 1997,USA,1h2,"Jefferson, GA (USA)",09 MAY 2014
5952,163,10.56,Tamunotonye BRIGGS,23 MAY 1995,NGR,5,Akure (NGR),10 MAY 2014
5953,163,10.56,Arturo Harmodio DELISER ESPINOSA,24 APR 1997,PAN,1,Cali (COL),17 MAY 2014
5954,163,10.56,Dominik KOPEĆ,05 MAR 1995,POL,2h1,Kraków (POL),20 JUN 2014
5955,163,10.56,Cliff RESIAS,08 NOV 1996,BAH,4,Morelia (MEX),04 JUL 2014
5956,163,10.56,Gautier DAUTREMER,14 MAR 1995,FRA,1sf1,Valence (FRA),18 JUL 2014
5957,179,10.57,Tyrone THORNTON,,USA,1,"Hallandale, FL (USA)",08 MAR 2014
5958,179,10.57,Turner DEVARIUS,,USA,1,Lake Minneola (USA),23 APR 2014
5959,179,10.57,Andrew SLANTON,,USA,1h1,"Jefferson, GA (USA)",08 MAY 2014
5960,179,10.57,Evan BERRY,04 NOV 1995,USA,2h1,"Jefferson, GA (USA)",09 MAY 2014
5961,179,10.57,Patrick CARR,,USA,5,"Austin, TX (USA)",10 MAY 2014
5962,179,10.57,Travis COLLINS,28 MAY 1996,USA,1,"Jefferson, GA (USA)",10 MAY 2014
5963,179,10.57,Omeiza John AKERELE,12 FEB 1996,NGR,3h1,Akure (NGR),10 MAY 2014
5964,179,10.57,Andre MCBRIDE,,USA,2h2,"Pullman, WA (USA)",17 MAY 2014
5965,179,10.57,Lucien AUBRY,17 NOV 1995,GER,1f13,Regensburg (GER),17 MAY 2014
5966,179,10.57,Roy EJIAKUEKWU,02 FEB 1995,GBR,5f2,Loughborough (GBR),18 MAY 2014
5967,179,10.57,Kevin NUTT,,USA,3h3,"Clovis, CA (USA)",07 JUN 2014
5968,179,10.57,Muhammad Naqib ASMIN,05 FEB 1995,SGP,4h2,Taipei City (TPE),12 JUN 2014
5969,179,10.57,Caleb DOWNES,12 AUG 1997,GBR,2,Birmingham (GBR),14 JUN 2014
5970,179,10.57,Fabian HEWITT,09 FEB 1997,JAM,2h2,Morelia (MEX),04 JUL 2014
5971,179,10.57,Owin SINCLAIR,25 SEP 1997,GBR,3h3,Mannheim (GER),05 JUL 2014
5972,179,10.57,Thomas BARTHEL,06 OCT 1998,GER,1h5,Mannheim (GER),05 JUL 2014
5973,179,10.57,Yuki HIRAO,27 APR 1996,JPN,3,Nagasaki (JPN),19 OCT 2014
5974,179,10.57,Chang-soo LEE,29 JUN 1997,KOR,1,Jeonju (KOR),30 OCT 2014
5975,197,10.58,Andrew SLATON,,USA,1f1,"Atlanta, GA (USA)",26 APR 2014
5976,197,10.58,Antonio FRANKLIN,,USA,6,"Austin, TX (USA)",10 MAY 2014
5977,197,10.58,Nigel BETHEL,,USA,3h3,"Orlando, FL (USA)",24 MAY 2014
5978,197,10.58,Quintin BELL,,USA,4h3,"Clovis, CA (USA)",07 JUN 2014
5979,,,,,,,,
5980,197,10.58,Joshua PEARSON,1997,USA,1h3,"Greensboro, NC (USA)",13 JUN 2014
5981,197,10.58,Rushan ABDULKADEROV,12 JUN 1995,RUS,1,Cheboksary (RUS),15 JUN 2014
5982,197,10.58,Xingqiang TANG,11 AUG 1995,CHN,1h3,Jinan (CHN),11 JUL 2014
5983,197,10.58,Jakub MATÚŠ,01 FEB 1996,SVK,3,Banská Bystrica (SVK),12 JUL 2014
5984,197,10.58,Shunto NAGATA,03 APR 1996,JPN,4,Nagasaki (JPN),19 OCT 2014
5985,206,10.59,Mario WILLIAMS,03 NOV 1995,JAM,2,Kingston (JAM),01 FEB 2014
5986,206,10.59,Jullane WALKER,30 DEC 1995,JAM,5,Kingston (JAM),08 FEB 2014
5987,206,10.59,Collin HEARD,1995,USA,2f3,"Austin, TX (USA)",03 MAY 2014
5988,206,10.59,Jacques HALL,,USA,3,"Charleston, IL (USA)",09 MAY 2014
5989,206,10.59,Tavien FEASTER,1997,USA,1,"Columbia, SC (USA)",17 MAY 2014
5990,206,10.59,Simon SCHÜTZ,03 MAY 1996,GER,1h1,Weinheim (GER),31 MAY 2014
5991,206,10.59,Yanier BELLO,26 APR 1995,SUI,1f1,Genève (SUI),31 MAY 2014
5992,206,10.59,Malcolm JOHNSON,1996,USA,3,"Columbus, OH (USA)",07 JUN 2014
5993,206,10.59,Reggie THOMAS,,USA,2h2,"Columbus, OH (USA)",07 JUN 2014
5994,206,10.59,Hiu Wah KONG,01 FEB 1995,HKG,5h2,Taipei City (TPE),12 JUN 2014
5995,206,10.59,Jahmaal DANIEL,10 NOV 1995,USA,6,"Greensboro, NC (USA)",15 JUN 2014
5996,206,10.59,Nils KEßLER,18 NOV 1995,GER,2,Wetzlar (GER),21 JUN 2014
5997,206,10.59,Sylvain CHUARD,12 MAR 1996,SUI,1f1,"Stade Olympique de la Pontaise, Lausanne (SUI)",03 JUL 2014
5998,206,10.59,Till HELBIG,15 MAY 1995,GER,3h4,Mannheim (GER),05 JUL 2014
5999,206,10.59,Quanyan XIE,28 MAR 1995,CHN,2h5,Jinan (CHN),11 JUL 2014
6000,206,10.59,Darius MITCHELL,,USA,1h3,"San Marcos, TX (USA)",12 JUL 2014
6001,222,10.60,Jinsheng LIANG,12 JAN 1996,CHN,1h2,Zhaoqing (CHN),19 APR 2014
6002,222,10.60,Michael TURNER,,USA,4,"Sacramento, CA (USA)",02 MAY 2014
6003,222,10.60,Baboloki THEBE,18 MAR 1997,BOT,2,Potchefstroom (RSA),09 MAY 2014
6004,222,10.60,Olisakwe CHUKWUDI,05 MAR 1997,NGR,1h8,Akure (NGR),10 MAY 2014
6005,222,10.60,Jonathan ADDISON,27 FEB 1995,USA,5f1,"Raleigh, NC (USA)",16 MAY 2014
6006,222,10.60,Rico GAFFORD,,USA,1h1,"Des Moines, IA (USA)",24 MAY 2014
6007,222,10.60,Marcus LAWLER,28 FEB 1995,IRL,2f1,Dublin (IRL),25 MAY 2014
6008,222,10.60,Jay RARADZA,17 JUN 1996,GBR,3,Birmingham (GBR),14 JUN 2014
6009,222,10.60,Shaheed HICKMAN,1996,USA,1,"Brooklyn, NY (USA)",29 JUN 2014
6010,222,10.60,Hirotaka YAMADA,24 OCT 1996,JPN,1h3,Nagasaki (JPN),19 OCT 2014
6011,222,10.60,Akiyoshi ONO,25 APR 1996,JPN,2sf2,Nagasaki (JPN),19 OCT 2014
6012,233,10.61,Shivnarine SMALLING,28 SEP 1996,JAM,6,Kingston (JAM),08 MAR 2014
6013,233,10.61,Warren COOMBS,1996,USA,1h1,"Atlanta, GA (USA)",15 MAR 2014
6014,233,10.61,Jelani WALKER,10 JUN 1998,JAM,3,Kingston (JAM),28 MAR 2014
6015,233,10.61,TJ BROCK,03 FEB 1998,USA,1f2,"Walnut, CA (USA)",19 APR 2014
6016,233,10.61,Mishal Khalifa AL MUTAIRI,16 MAR 1997,KUW,1,Cairo (EGY),24 APR 2014
6017,233,10.61,Emanuel HICKS,,USA,1,"Lubbock, TX (USA)",26 APR 2014
6018,233,10.61,Justin FLYNN,,USA,2,"Annapolis, MD (USA)",03 MAY 2014
6019,233,10.61,Karabo MOTHIBI,15 OCT 1996,BOT,3,Potchefstroom (RSA),09 MAY 2014
6020,233,10.61,Reidis RAMOS,21 JUL 1996,CUB,2h2,La Habana (CUB),23 MAY 2014
6021,233,10.61,Michael TIMPSON,1996,USA,3h2,"Orlando, FL (USA)",24 MAY 2014
6022,233,10.61,Jonathan GREEN,1996,USA,1,Mount Tahoma (USA),31 MAY 2014
6023,233,10.61,Kossi TCHENAWOU,,USA,1,"Aurora, IL (USA)",22 JUN 2014
6024,233,10.61,Marek ŠEFRÁNEK,27 OCT 1996,SVK,1,Berlin (GER),02 AUG 2014
6025,233,10.61,Jordan SHELLEY,27 FEB 1998,AUS,1,Sydney (AUS),12 OCT 2014
6026,233,10.61,Daisuke MIYAMOTO,17 APR 1999,JPN,1h2,Nagasaki (JPN),19 OCT 2014
6027,233,10.61,Kotaro IWASAKI,14 JUN 1996,JPN,4sf2,Nagasaki (JPN),19 OCT 2014
6028,233,10.61,Jhony RENTERIA,26 MAR 1997,COL,1,Cali (COL),28 NOV 2014
6029,250,10.62,Ernst BUYS,1995,RSA,3,Port Elizabeth (RSA),21 MAR 2014
6030,250,10.62,Charles NELSON,1995,USA,1h5,"Gainesville, FL (USA)",03 APR 2014
6031,250,10.62,Tyler GREEN,1998,USA,1h1,"Marietta, GA (USA)",17 APR 2014
6032,250,10.62,Mahmoud HAMMOUDI,10 MAY 1996,ALG,2,Cairo (EGY),24 APR 2014
6033,250,10.62,Christopher ESTRELLA,,USA,1,"Hackensack, NJ (USA)",16 MAY 2014
6034,250,10.62,Bastien LANDES,13 SEP 1995,FRA,2f1,Castres (FRA),07 JUN 2014
6035,250,10.62,Emil VON BARTH,28 JAN 1996,SWE,3h2,Göteborg (SWE),13 JUN 2014
6036,250,10.62,Javan MARTIN,15 APR 1998,BAH,2,Nassau (BAH),27 JUN 2014
6037,250,10.62,Daniel MAZÓN,31 JAN 1996,ESP,2,Castellón (ESP),05 JUL 2014
6038,250,10.62,Derick SILVA,23 APR 1998,BRA,1,Recifé (BRA),20 SEP 2014
6039,250,10.62,Gyuhyeong LEE,02 APR 1997,KOR,2,Jeonju (KOR),30 OCT 2014
6040,250,10.62,Byong-chan KIM,23 OCT 1996,KOR,3,Jeonju (KOR),30 OCT 2014
6041,262,10.63,Odane BERNARD,04 MAY 1996,JAM,7,Kingston (JAM),08 MAR 2014
6042,262,10.63,Jacob DESPARD,20 NOV 1996,AUS,3,Sydney (AUS),15 MAR 2014
6043,262,10.63,Kejavon MOORE,,USA,2f3,"Phoenix, AZ (USA)",15 MAR 2014
6044,262,10.63,Raymond JACKSON,,USA,2f1,"Mobile, AL (USA)",12 APR 2014
6045,262,10.63,Corey PARKS,,USA,1h3,"Rock Hill, SC (USA)",25 APR 2014
6046,262,10.63,Quincy VORSTER,12 FEB 1995,RSA,3sf3,Pretoria (RSA),25 APR 2014
6047,262,10.63,Charles WHEELER,,USA,2f1,"Reedley, CA (USA)",02 MAY 2014
6048,262,10.63,Amir JAMES,07 DEC 1995,USA,7,"Austin, TX (USA)",10 MAY 2014
6049,262,10.63,Lance AUSTIN,,USA,2h1,"Jefferson, GA (USA)",10 MAY 2014
6050,262,10.63,Maurice EADDY,04 JUN 1995,USA,1h8,"Greensboro, NC (USA)",11 MAY 2014
6051,262,10.63,Jacek KABACIŃSKI,25 OCT 1995,POL,1f5,Sosnowiec (POL),24 MAY 2014
6052,262,10.63,Tre CURRY,26 AUG 1995,USA,1,"Troy, OH (USA)",24 MAY 2014
6053,262,10.63,Ivy DOBSON,05 NOV 1995,USA,2,"Carson, CA (USA)",24 MAY 2014
6054,262,10.63,Brandon LUCAS,,USA,1f1,"San Diego, CA (USA)",31 MAY 2014
6055,262,10.63,Akanni HISLOP,01 JUN 1998,TTO,3,Morelia (MEX),04 JUL 2014
6056,262,10.63,Hiroaki YABASHI,30 DEC 1996,JPN,5sf2,Nagasaki (JPN),19 OCT 2014
6057,278,10.64,Javoy TUCKER,13 MAY 1997,JAM,7,Kingston (JAM),28 MAR 2014
6058,278,10.64,John OSBORNE,,USA,1f5,"Greenville, NC (USA)",12 APR 2014
6059,278,10.64,Kenric YOUNG,07 FEB 1996,USA,3,Lake Minneola (USA),23 APR 2014
6060,278,10.64,Chad ARTIST,,USA,1,"Kaysville, UT (USA)",26 APR 2014
6061,278,10.64,Joshua PEOPLES,29 JUN 1996,USA,2h2,"Greensboro, NC (USA)",02 MAY 2014
6062,278,10.64,John FRANKLIN,,USA,1h8,"Atlanta, GA (USA)",16 MAY 2014
6063,278,10.64,Adam THOMAS,15 APR 1995,GBR,4f3,Loughborough (GBR),18 MAY 2014
6064,278,10.64,Demetrius LANIER,,USA,1f1,"Shippensburg, PA (USA)",24 MAY 2014
6065,278,10.64,Jonathan NYEPA,26 MAR 1996,MAS,1h4,Kangar (MAS),29 MAY 2014
6066,278,10.64,Zachary SMITH,JUL 1996,USA,2,Mount Tahoma (USA),31 MAY 2014
6067,278,10.64,Titus BOOKER,,USA,2,"Charleston, IL (USA)",31 MAY 2014
6068,278,10.64,Christopher ESTRELLA,,USA,1,"Egg Harbor City, NJ (USA)",31 MAY 2014
6069,278,10.64,Gabriel CONSTANTINO,09 FEB 1995,BRA,2h3,Rio de Janeiro (BRA),31 MAY 2014
6070,278,10.64,Tommy RAMDHAN,28 NOV 1996,GBR,3f4,Lee Valley (GBR),11 JUN 2014
6071,278,10.64,Daniil SMIRNOV,08 JUN 1995,RUS,2,Cheboksary (RUS),15 JUN 2014
6072,278,10.64,Roberto LUEVANO,20 SEP 1995,MEX,8h,Xalapa (MEX),29 AUG 2014
6073,294,10.65,Cory MILLER,,USA,2f1,"Plano, TX (USA)",09 APR 2014
6074,294,10.65,Shaokai XU,18 OCT 1995,CHN,1h3,Zhaoqing (CHN),19 APR 2014
6075,294,10.65,Adrian KILLINS,,USA,4,Lake Minneola (USA),23 APR 2014
6076,294,10.65,Xavian MARKS,1996,USA,2h2,"Huntsville, TX (USA)",25 APR 2014
6077,294,10.65,Deion REID,,USA,3h1,"New Orleans, LA (USA)",26 APR 2014
6078,294,10.65,Elijah ROSS,,USA,1f2,"Atlanta, GA (USA)",26 APR 2014
6079,294,10.65,Tevin GARRAWAY,10 DEC 1996,GUY,2,Port-of-Spain (TTO),17 MAY 2014
6080,,,,,,,,
6081,294,10.65,Jonathan QUARCOO,13 OCT 1996,NOR,1,Lillestrøm (NOR),24 MAY 2014
6082,294,10.65,Sebastian NEUMANN,1995,GER,3,Regensburg (GER),07 JUN 2014
6083,294,10.65,DeVohn JACKSON,1998,USA,3h2,"Columbus, OH (USA)",07 JUN 2014
6084,294,10.65,Paulo Henrique DA SILVA,29 JUN 1995,BRA,2h7,São Paulo (BRA),14 JUN 2014
6085,294,10.65,Manuel EITEL,28 JAN 1997,GER,ce,"Bernhausen, Filderstadt (GER)",30 AUG 2014
6086,306,10.66,Anthony James COLLUM,11 OCT 1995,AUS,4,Sydney (AUS),15 MAR 2014
6087,306,10.66,Stanley JOHNSON,,USA,1f3,"New Orleans, LA (USA)",12 APR 2014
6088,306,10.66,Jake GOURLEY,1996,USA,1,St. Paul (USA),26 APR 2014
6089,306,10.66,Marquice DYE,,USA,1h2,"Jefferson, GA (USA)",08 MAY 2014
6090,306,10.66,Therius STYLES,1996,USA,2,"Apex, NC (USA)",10 MAY 2014
6091,306,10.66,Solomon VAULT,,USA,1,"Clarksburg, MD (USA)",15 MAY 2014
6092,306,10.66,Travion CLARK,15 AUG 1995,USA,4h2,"Mesa, AZ (USA)",16 MAY 2014
6093,306,10.66,Carlos SALCIDO,,USA,1,"Casper, WY (USA)",24 MAY 2014
6094,306,10.66,Ernest AGYEMAN,1995,USA,1,"Randalls Island, NY (USA)",25 MAY 2014
6095,306,10.66,Scotty MILLER,,USA,1h1,"Charleston, IL (USA)",30 MAY 2014
6096,306,10.66,Jaylon BROWN,,USA,1,"New Concord, OH (USA)",31 MAY 2014
6097,306,10.66,Deion BARKER,09 FEB 1995,CAN,2,Mississauga (CAN),06 JUN 2014
6098,306,10.66,Ja'Maun CHARLES,01 OCT 1997,USA,2h1,"Clovis, CA (USA)",07 JUN 2014
6099,306,10.66,Ioan PITIGOI,21 JUL 1995,ROU,1h1,Bucureşti (ROU),20 JUN 2014
6100,306,10.66,Ricardo RIBEIRO,21 FEB 1995,POR,4,Braga (POR),12 JUL 2014
6101,306,10.66,Benjamin LEGROS,19 APR 1995,FRA,2,Valence (FRA),18 JUL 2014
6102,306,10.66,Christian BRISSETT,31 MAR 1997,USA,2sf2,"Des Moines, IA (USA)",30 JUL 2014
6103,306,10.66,Pedro Gil Xavier ALMEIDA SANTOS,02 MAY 1997,BRA,1h3,Recifé (BRA),20 SEP 2014
6104,324,10.67,D'Jean ALLWOOD,1996,JAM,3,Kingston (JAM),01 FEB 2014
6105,324,10.67,Renard HOWELL,03 MAR 1995,USA,5f1,"Stephenville, TX (USA)",06 MAR 2014
6106,324,10.67,Sean MCGREW,,USA,1f1,"Azusa, CA (USA)",29 MAR 2014
6107,324,10.67,Antonio HOWARD,,USA,2h3,"Gainesville, FL (USA)",03 APR 2014
6108,324,10.67,Xavier ATKINS,24 JUN 1996,USA,3,"Gainesville, FL (USA)",04 APR 2014
6109,324,10.67,Deltron HOPKINS,,USA,4,"Gainesville, FL (USA)",04 APR 2014
6110,324,10.67,Young KENNETH,,USA,2,"Jacksonville, FL (USA)",17 APR 2014
6111,324,10.67,Wally UNGERER,07 SEP 1995,RSA,4sf3,Pretoria (RSA),25 APR 2014
6112,324,10.67,Wilhem BELOCIAN,22 JUN 1995,FRA,1,Les Abymes (FRA),01 MAY 2014
6113,324,10.67,Marco GIANANTONI,03 MAY 1995,ITA,1f1,Modena (ITA),10 MAY 2014
6114,324,10.67,Raul OQUENDO,1996,USA,3,"Apex, NC (USA)",10 MAY 2014
6115,324,10.67,Kevin MCCLANAHAN,,USA,1,"Lakewood, PA (USA)",15 MAY 2014
6116,324,10.67,Tyshawn SIDERS,,USA,2,"Greensboro, NC (USA)",16 MAY 2014
6117,324,10.67,Shu-Wei HUANG,23 JUN 1995,TPE,3,Yunlin (TPE),19 MAY 2014
6118,324,10.67,Xavier SMITH,26 MAY 1996,USA,2f1,"Shippensburg, PA (USA)",24 MAY 2014
6119,324,10.67,Anton PORTER,05 JUL 1996,USA,1h2,"Cicero, NY (USA)",06 JUN 2014
6120,324,10.67,Nans ANDRE,28 MAY 1997,FRA,1sf2,Valence (FRA),18 JUL 2014
6121,324,10.67,Fabian NETZLAFF,16 JUL 1996,GER,1h8,"Wattenscheid, Bochum (GER)",08 AUG 2014
6122,324,10.67,Takamasa KITAGAWA,05 SEP 1996,JPN,5sf1,Nagasaki (JPN),19 OCT 2014
6123,324,10.67,Brandon HERRIGAN,23 APR 1998,AUS,1,Brisbane (AUS),31 OCT 2014
6124,344,10.68,Travis HENRY,,JAM,12,Kingston (JAM),08 FEB 2014
6125,344,10.68,Jordan BORRERO,06 APR 1995,COL,2h1,Medellín (COL),01 MAR 2014
6126,344,10.68,Reginald GLOVER,26 JAN 1995,USA,2f2,"Athens, GA (USA)",12 APR 2014
6127,344,10.68,Jianliang MA,03 JAN 1996,CHN,2h13,Zhaoqing (CHN),19 APR 2014
6128,344,10.68,Jacopo SPANO',20 MAR 1995,ITA,1f2,Modena (ITA),25 APR 2014
6129,344,10.68,Steven JAZDYK,,USA,2,"Lubbock, TX (USA)",26 APR 2014
6130,344,10.68,Jonah TRINNAMAN,,USA,1,"Provo, UT (USA)",03 MAY 2014
6131,344,10.68,Jaron WOODYARD,1997,USA,1h1,"Bethesda, MD (USA)",07 MAY 2014
6132,344,10.68,Kirk MERRITT,,USA,2,"Baton Rouge, LA (USA)",08 MAY 2014
6133,344,10.68,Tyri BEARD,1997,USA,4,"Apex, NC (USA)",10 MAY 2014
6134,344,10.68,Josneyber RAMÍREZ,17 NOV 1997,VEN,2,Cali (COL),17 MAY 2014
6135,344,10.68,John MOTEN,,USA,1h2,"Jefferson City, MO (USA)",31 MAY 2014
6136,344,10.68,Kashif MILLER,1995,USA,1,"South Plainfield, NJ (USA)",31 MAY 2014
6137,344,10.68,Christopher ESTREL,,USA,2,"South Plainfield, NJ (USA)",04 JUN 2014
6138,344,10.68,Julius RIVERA,02 JAN 1995,PUR,1,Mayagüez (PUR),06 JUN 2014
6139,344,10.68,Levi Roche MANDJI,19 JUN 1995,ITA,1f1,Desenzano del Garda (ITA),18 JUN 2014
6140,344,10.68,Oliver BROMBY,30 MAR 1998,GBR,4sf2,Bedford (GBR),21 JUN 2014
6141,344,10.68,Javan LANIER,1997,USA,2,"Colorado Springs, CO (USA)",06 JUL 2014
6142,344,10.68,Justin THOMAS,,USA,1,Gold Coast (AUS),11 JUL 2014
6143,344,10.68,Johan LILJA,1995,SWE,3f3,Sundsvall (SWE),20 JUL 2014
6144,344,10.68,Jaron FLOURNOY,24 NOV 1996,USA,2h12,"Des Moines, IA (USA)",28 JUL 2014
6145,344,10.68,Oluwatosin OYEWOLE,25 SEP 1996,USA,3sf2,"Des Moines, IA (USA)",30 JUL 2014
6146,344,10.68,Lukas HEIN,22 JAN 1996,GER,2sf3,"Wattenscheid, Bochum (GER)",08 AUG 2014
6147,344,10.68,Ben SNAITH,17 SEP 1995,GBR,5f4,Lee Valley (GBR),20 AUG 2014
6148,344,10.68,Wataru INUZUKA,08 JUL 1997,JPN,6sf2,Nagasaki (JPN),19 OCT 2014
6149,369,10.69,Dimitri JULIET,28 MAR 1996,NED,3,Willemstad (AHO),15 FEB 2014
6150,369,10.69,Darnell LINDSEY,,USA,1f4,"Holiday, FL (USA)",07 MAR 2014
6151,369,10.69,Ryan BEDFORD,16 MAR 1995,AUS,5,Sydney (AUS),15 MAR 2014
6152,369,10.69,Emiliano CAVAZOS,15 MAY 1995,MEX,2h4,Monterrey (MEX),21 MAR 2014
6153,369,10.69,Darius THOMAS,,USA,1f1,"Lancaster, TX (USA)",10 APR 2014
6154,369,10.69,Reuberth BOYDE,17 MAY 1996,VIN,8,Fort-de-France (FRA),19 APR 2014
6155,369,10.69,Ben KELLY,,USA,3f1,"Pasco, WA (USA)",19 APR 2014
6156,369,10.69,Rodick ARCHER,,USA,3,"Miramar, FL (USA)",24 APR 2014
6157,369,10.69,Nick CHUBB,,USA,2f2,"Carrollton, GA (USA)",26 APR 2014
6158,369,10.69,Bryson DENLEY,,USA,8,"Austin, TX (USA)",10 MAY 2014
6159,369,10.69,Travis NEWTON,,USA,1,"Wilmington, NC (USA)",10 MAY 2014
6160,369,10.69,Arphaxed CARROLL,1995,USA,2h1,"Orem, UT (USA)",16 MAY 2014
6161,369,10.69,Vladyslav CHEPURNYY,11 MAY 1997,UKR,1h1,Baku (AZE),30 MAY 2014
6162,369,10.69,Song ZHANG,28 SEP 1995,CHN,1h2,Kunshan (CHN),30 MAY 2014
6163,369,10.69,Joseph REAGAN,09 SEP 1996,USA,1,"Wichita, KS (USA)",31 MAY 2014
6164,369,10.69,Min-jun SUNG,1996,KOR,1,Yeosu (KOR),06 JUN 2014
6165,369,10.69,John III. KENDRICK,,USA,3h1,"Clovis, CA (USA)",07 JUN 2014
6166,369,10.69,Andrae HUNTER,,USA,1,"Cicero, NY (USA)",07 JUN 2014
6167,369,10.69,Duan ASEMOTA,29 AUG 1996,CAN,2h1,Sainte-Therese (CAN),04 JUL 2014
6168,369,10.69,Felix STRAUB,14 MAY 1997,GER,1sf2,Regensburg (GER),05 JUL 2014
6169,369,10.69,Dionte ROBINSON,15 MAR 1996,USA,1h2,"Arkansas City, KS (USA)",02 AUG 2014
6170,369,10.69,Nico Marcel LEISTNER,1995,GER,2h8,"Wattenscheid, Bochum (GER)",08 AUG 2014
6171,369,10.69,Yuta HIRAYAMA,,JPN,7sf2,Nagasaki (JPN),19 OCT 2014
6172,392,10.70,Cheick SAMAKE,1995,MLI,1,Bamako (MLI),24 FEB 2014
6173,392,10.70,Brian OLIVER,,USA,6,"Jacksonville, FL (USA)",15 MAR 2014
6174,392,10.70,Dennis MOORE,,USA,1h3,"Charlotte, NC (USA)",21 MAR 2014
6175,392,10.70,Justin BROWN,,USA,4h13,"Charlotte, NC (USA)",21 MAR 2014
6176,392,10.70,Jay BRADFORD,,USA,2f5,"College Park, MD (USA)",22 MAR 2014
6177,392,10.70,Andrew MATHIS,,USA,1h3,"Desoto, TX (USA)",09 APR 2014
6178,392,10.70,Yujie LI,15 MAY 1995,CHN,2h3,Zhaoqing (CHN),19 APR 2014
6179,392,10.70,Krivonte BENSON,,USA,1f2,"Powder Springs, GA (USA)",26 APR 2014
6180,392,10.70,Charles TAYLOR,1995,USA,3f1,"Starkville, MS (USA)",02 MAY 2014
6181,,,,,,,,
6182,392,10.70,Marvin HUBBARD,1999,USA,2,"Jefferson, GA (USA)",08 MAY 2014
6183,392,10.70,Boris ROGOV,16 FEB 1997,RUS,1sf3,Cheboksary (RUS),15 JUN 2014
6184,392,10.70,Diego Aldo PETTOROSSI,13 JAN 1997,ITA,1f1,Rieti (ITA),20 JUN 2014
6185,392,10.70,Reberto BOYDE,17 MAY 1996,VIN,2h7,Port-of-Spain (TTO),20 JUN 2014
6186,392,10.70,Theo ETIENNE,03 SEP 1996,GBR,3sf1,Bedford (GBR),21 JUN 2014
6187,392,10.70,Shamon EHIEMUA,30 SEP 1998,USA,1sf3,"Orlando, FL (USA)",11 JUL 2014
6188,392,10.70,London DUNN,1998,USA,1h3,"San Marcos, TX (USA)",12 JUL 2014
6189,392,10.70,Mathieu BADOF,02 APR 1997,FRA,2sf2,Valence (FRA),18 JUL 2014
6190,392,10.70,Zsolt PÁZMÁNDI,26 APR 1995,HUN,2f2,Budapest (HUN),19 JUL 2014
6191,392,10.70,Ronald FULLER,1999,USA,1sf2,"Des Moines, IA (USA)",30 JUL 2014
6192,392,10.70,Danil SUTZHANOV,16 JUL 1995,KAZ,2,Almaty (KAZ),22 AUG 2014
6193,392,10.70,Yong-ha LEE,27 JUL 1996,KOR,4,Jeonju (KOR),30 OCT 2014
6194,413,10.71,Diego HERNANDEZ,21 FEB 1995,VEN,1,"Claremont, CA (USA)",15 FEB 2014
6195,413,10.71,Shayne RODNEY,1995,USA,3f1,"Tallahassee, FL (USA)",02 MAR 2014
